M [g]          R [cm]       P [dyn/cm2]      T [K]          Rho [cgs]    Vson [cm/s]    Gradc []     Grada []     Gradr []
  1.1352081D+30  4.6660108D+09  6.4768073D+12  9.7428178D+03  1.7452976D+00  2.7364702D+06  3.12184D-01  3.12184D-01  8.36576D+33
  1.1154935D+30  4.6247387D+09  6.7224626D+12  9.8568907D+03  1.7777772D+00  2.7638358D+06  3.13162D-01  3.13162D-01  8.43451D+33
  1.0957500D+30  4.5834229D+09  6.9730224D+12  9.9706593D+03  1.8102545D+00  2.7913136D+06  3.14008D-01  3.14008D-01  8.50692D+33
  1.0759831D+30  4.5420541D+09  7.2285149D+12  1.0084002D+04  1.8427189D+00  2.8194610D+06  3.13913D-01  3.13913D-01  8.58361D+33
  1.0561955D+30  4.5006166D+09  7.4890083D+12  1.0196668D+04  1.8751729D+00  2.8466163D+06  3.13778D-01  3.13778D-01  8.66573D+33
  1.0363971D+30  4.4591098D+09  7.7544774D+12  1.0308705D+04  1.9076284D+00  2.8732424D+06  3.13633D-01  3.13633D-01  8.75322D+33
  1.0165961D+30  4.4175305D+09  8.0249145D+12  1.0420108D+04  1.9400894D+00  2.8993996D+06  3.13462D-01  3.13462D-01  8.84629D+33
  9.9680068D+29  4.3758752D+09  8.3003109D+12  1.0530872D+04  1.9725598D+00  2.9250899D+06  3.13271D-01  3.13271D-01  8.94513D+33
  9.7701891D+29  4.3341407D+09  8.5806572D+12  1.0640993D+04  2.0050434D+00  2.9503158D+06  3.13062D-01  3.13062D-01  9.04997D+33
  9.5725873D+29  4.2923234D+09  8.8659430D+12  1.0750471D+04  2.0375440D+00  2.9750808D+06  3.12842D-01  3.12842D-01  9.16102D+33
  9.3752795D+29  4.2504199D+09  9.1561573D+12  1.0859305D+04  2.0700652D+00  2.9993885D+06  3.12613D-01  3.12613D-01  9.27853D+33
  9.1783428D+29  4.2084267D+09  9.4512883D+12  1.0967497D+04  2.1026105D+00  3.0231751D+06  3.12324D-01  3.12324D-01  9.40275D+33
  8.9817836D+29  4.1663255D+09  9.7514309D+12  1.1074727D+04  2.1352293D+00  3.0433791D+06  3.10270D-01  3.10270D-01  9.53524D+33
  8.7856418D+29  4.1241058D+09  1.0056632D+13  1.1180829D+04  2.1679694D+00  3.0629115D+06  3.08561D-01  3.08561D-01  9.67701D+33
  8.5900073D+29  4.0817685D+09  1.0366863D+13  1.1285875D+04  2.2008312D+00  3.0820721D+06  3.07065D-01  3.07065D-01  9.82813D+33
  8.3949665D+29  4.0393136D+09  1.0682092D+13  1.1389931D+04  2.2338136D+00  3.1009042D+06  3.05761D-01  3.05761D-01  9.98875D+33
  8.2006028D+29  3.9967405D+09  1.1002292D+13  1.1493057D+04  2.2669147D+00  3.1194484D+06  3.04630D-01  3.04630D-01  1.01591D+34
  8.0069973D+29  3.9540481D+09  1.1327434D+13  1.1595308D+04  2.3001322D+00  3.1377429D+06  3.03655D-01  3.03655D-01  1.03393D+34
  7.8142282D+29  3.9112348D+09  1.1657491D+13  1.1696732D+04  2.3334633D+00  3.1558234D+06  3.02821D-01  3.02821D-01  1.05298D+34
